名称,地点,薪资,招聘需求,详情网址,区域
养殖场设备工程师,上海,7-9K,"3-5年,学历不限",https://www.zhipin.com/job_detail/91d1ba5f1a8bf8dd1nx42Nm_E1VU.html?lid=4R66DVQbjLz.search.24&securityId=YPCGzGmLSsglS-A13w-DAJUtW0sJ0TQ5BA29PppEuLoGc8MAqmbiJ2TcVvO9oNBG71n1NER-i1wr3r_BT9MaVIfpDWPPRLc-Qz1-femRQph_xvPxgV53ZrltjDohm4nDEmsZS7QcoDt3&sessionId=,崇明区
医疗器械研发工程师,上海·崇明区·上海长江大桥,10-11K,"3-5年,本科",https://www.zhipin.com/job_detail/8cccf656c099b6a21XN-3tm7ElNW.html?lid=4R66DVQbjLz.search.25&securityId=lxxjxn5id07Ks-h1gvUWD6j_aVT0pyDgjwvOkcCDEKb3eJgkGN62a1CHvYL9B0o8jGKC44kiguhjZ8FJ0vp0QwaNaCDC7HGvQU4T2ggxI_x0DGHHa8RWn6XisfU0_CW7Aa2Kmpi5J-ODAw~~&sessionId=,崇明区
匿名公司招聘电气工程师,上海,20-30K,"3-5年,本科",https://www.zhipin.com/job_detail/ca7ca55efd1640481Hd-3N20FlZV.html?lid=4R66DVQbjLz.search.26&securityId=DrXrw1tj2Ym8f-F1z08Mb3mTlLZLB__aTv_1cZxvdujxDppT9Ks1DiqJy1PJLwF2xcOrLmlsfOwVEywUiO3P0vZJRt0u8sOdeA_txEjDiIHGI58OZoUSXIcLNH06urjVOIWUQdrB4j7A&sessionId=,崇明区
嵌入式软件工程师,上海,20-23K,"3-5年,大专",https://www.zhipin.com/job_detail/bb553cc5b240209e1Hd929u7FVVR.html?lid=4R66DVQbjLz.search.27&securityId=a2mbH7M3BOQQF-Q1HI025rpcnuBfOq6TKfc9j5g-zcD0ZJ8LMNNOhmilmmq5PDv0Tng03CqwCl1RMf3ktUpxXxnGOSZzWTxSc4t42ttzWqRDS5KSyxNUvlg2ZwUyZ8sQ4U7OjnwHLfe-6w~~&sessionId=,崇明区
高级java开发工程师/技术专家(急急急C端),上海,40-70K·15薪,"5-10年,本科",https://www.zhipin.com/job_detail/55231b8d766730481HB43tW_EFNS.html?lid=4R66DVQbjLz.search.28&securityId=XaHAA3O0yfn1V-u1O4kRdpp9cV1ZH3YnZ3yYq2wu4KcLSIvO1dYVOK8KLk41LAjFmpp6BVVbmmK7p4QhS27mZyj-1x4ou8gwXr6KV6kyEWftO7ud11O-5Obqdh-sv6Bwo4la45xYos6p&sessionId=,崇明区
全栈工程师,上海,20-25K,"3-5年,本科",https://www.zhipin.com/job_detail/c4313bec53355fe40HJ-3Nu6F1Y~.html?lid=4R66DVQbjLz.search.29&securityId=I7Su4WjQ1kkts-I1QdQ6e6kl9x_Vx_NbDszWR2c8Om3qllkstPXbajWPItIzT1MkUQC7meEHCDaTI0QVoAV7k886lH9S7B8wHb2CkJKZG8qyrn4cWgSI6knVRlicwKy6z3KZG--rd-c~&sessionId=,崇明区
医疗器械生产助理工程师,上海·崇明区·长兴岛,6-10K,"1-3年,本科",https://www.zhipin.com/job_detail/46cbc73c976b2c8b1HRz09m7FVFW.html?lid=4R66DVQbjLz.search.31&securityId=GB49YnEVt0qbJ--1wsEUEAN_4u0wdG4r6TT38kmj2zKxb_HaMBcBn9d7th9fJWeOsNZS8P-VqQt4PBYJjQB-JzegekZN-k0hm4N_5FnXD3uKc2g3obHOFQGSrBMe-2MxC9w75Cvvqtia&sessionId=,崇明区
高级大数据开发工程师,上海·崇明区·横沙岛,20-35K,"3-5年,本科",https://www.zhipin.com/job_detail/f2b9a3b56e75301c1HF439y_FFtU.html?lid=4R66DVQbjLz.search.32&securityId=BjXptrqMwyAtq-X1RLEYuRehIyGxscj8h9tB4_So-m0ereiq7l_gmiHKRgMCdJKCY9ZeFPAz9Dd7fdLABrlr-_Fy5OWxgwKO0ClQBhJ_Ax-oz3ayU1mmar045p-ocAjxSRIbLjAgTbVQbQ~~&sessionId=,崇明区
售前技术支持，急聘！各个区域都有需求！,上海,15-25K,"3-5年,本科",https://www.zhipin.com/job_detail/f8e1f46aa3d350bc1Hd62tq7E1NZ.html?lid=4R66DVQbjLz.search.33&securityId=wURe8lAmFvd8C-U1k-liIJaLFbzPlOrLLL4Gdp7-metyfeYzehAWoTYrNjCV1NtlY3MgkP42WzrCMGwAxEu57hI1V3HKb4kVzjw5Hbv6lnY9m3kjXSPlba-jYMj85wDQN6gioNwqXBc~&sessionId=,崇明区
弱电实施工程师,上海·崇明区·东平森林公园,6-8K,"1-3年,大专",https://www.zhipin.com/job_detail/1042a99ffc22426a1HB72t-6FFBY.html?lid=4R66DVQbjLz.search.34&securityId=70TALYxOWIY4H-618vvepzSI4igs7WjATydfeLkguZ2_OcJeXrEZxPOmQ2pC0nzLM0XP-FFKWLltaW2L4cdxVVhFCvQEz0CNElaAI3AOOdYkNBJCGSuz3_JiDbT_7Nw7PtyLnQBajWNp&sessionId=,崇明区
